text	code	weight	stem	decomposition
𣉒	ajog		ajog	⿰日隺
𭦜	ajomj		ajomj	⿰旱𫢉
𭥡	ajon		ajon	⿰早乞
𭦝	ajoni		ajoni	⿰旱令
𱢴	ajoo		ajoo	
𭦝	ajosl		ajosl	⿰旱令
𣅸	ajp		ajp	⿰日它
𰕴	ajp		ajp	
晓	ajpu		ajpu	⿰日尧
𱢜	ajqr		ajqr	
𬀬	ajr		ajr	⿰日古
𱢍	ajrr		ajrr	
𰖇	ajru		ajru	
𣌔	ajrz		ajrz	⿰日額
𭅸	ajsl		ajsl	⿱早⿱𠃌丨
𭧥	ajtc		ajtc	⿰日賁
𠘗	ajtm		ajtm	⿱日寒
暁	ajtu		ajtu	⿰日尭
𠘗	ajty		ajty	⿱日寒
𣋢	ajuu		ajuu	⿰日兢
晏	ajv	2	ajv	⿱日安
㫨	ajv		ajv	⿰日安
